Product,Symbool/ISIN,Aantal,Slotkoers,Lokale waarde,,Waarde in EUR
CASH & CASH FUND & FTX CASH (EUR),,,,EUR,"50560,34","50560,34"
ODAX C25000.00 17JUL26,DE000F3K3TN5,1,"231,50",EUR,"1157,50","1157,50"
ODAX C25500.00 17JUL26,DE000F3K3UJ1,-4,"84,00",EUR,"-1680,00","-1680,00"
ODAX C25750.00 17JUL26,DE000F3K3UU8,3,"46,30",EUR,"694,50","694,50"
ODAX P22000.00 17JUL26,DE000F3MGG77,4,"16,40",EUR,"328,00","328,00"
ODAX P22000.00 21AUG26,DE000F3P0X82,1,"98,60",EUR,"493,00","493,00"
ODAX P22500.00 17JUL26,DE000F3K3NW9,-4,"25,40",EUR,"-508,00","-508,00"
ODAX P22500.00 21AUG26,DE000F3P0YU1,2,"131,60",EUR,"1316,00","1316,00"
ODAX P23000.00 21AUG26,DE000F3P0ZE2,-4,"180,30",EUR,"-3606,00","-3606,00"
ODAX P24000.00 21AUG26,DE000F3P0047,1,"355,10",EUR,"1775,50","1775,50"
